Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,TenureGroup,CustomerMood
0,9,Computer,3,8,E-Wallet,3,3,Mobile Phone,3,7,0,18,1,1,2,122.31,Established (6-12 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,14,Credit Card,3,3,Mobile Phone,2,2,0,24,0,2,2,123.22999999999999,New (0-6 Bulan),Tidak Puas & No Komplain
0,9,Computer,1,15,Credit Card,2,3,Mobile Phone,4,7,0,18,0,2,2,120.24000000000001,Established (6-12 Bulan),Puas & No Komplain
0,1,Phone,1,27,Credit Card,3,3,Mobile Phone,2,2,0,11,0,1,2,127.13,New (0-6 Bulan),Tidak Puas & No Komplain
0,30,Phone,1,30,Debit Card,2,2,Fashion,2,4,1,16,1,1,4,194.39,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,0,Computer,1,14,Credit Card,3,4,Mobile Phone,3,2,1,15,0,1,1,125.66,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,23,Phone,1,17,Debit Card,2,3,Others,4,4,0,15,2,4,4,299.26,Loyal (>12 Bulan),Puas & No Komplain
0,14,Phone,1,14,Debit Card,2,3,Mobile Phone,3,5,0,12,1,1,8,124.50999999999999,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,3,Phone,3,11,Debit Card,2,3,Fashion,2,3,0,12,2,7,4,194.19,New (0-6 Bulan),Tidak Puas & No Komplain
0,11,Phone,3,6,Debit Card,2,4,Laptop & Accessory,2,5,0,22,1,1,1,186.86,Established (6-12 Bulan),Tidak Puas & No Komplain
0,5,Phone,1,12,Debit Card,3,3,Mobile Phone,3,4,0,20,0,1,4,130.38,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,23,COD,3,3,Mobile Phone,4,1,1,16,1,1,1,130.58,New (0-6 Bulan),Puas & Ada Komplain
1,0,Computer,3,14,COD,3,5,Mobile Phone,5,1,0,21,1,1,0,123.25,New (0-6 Bulan),Puas & No Komplain
0,9,Computer,1,9,Credit Card,1,3,Mobile Phone,4,5,0,12,4,7,2,120.88,Established (6-12 Bulan),Puas & No Komplain
0,3,Computer,1,15,Credit Card,3,3,Laptop & Accessory,5,2,0,11,0,6,10,130.72,New (0-6 Bulan),Puas & No Komplain
0,18,Phone,3,10,Debit Card,1,3,Laptop & Accessory,5,5,1,11,0,1,3,150.06,Loyal (>12 Bulan),Puas & Ada Komplain
0,29,Phone,1,14,Debit Card,3,3,Mobile Phone,5,5,1,18,1,2,2,142.57,Loyal (>12 Bulan),Puas & Ada Komplain
0,6,Phone,1,14,Debit Card,2,3,Mobile Phone,2,1,0,14,0,1,2,125.0,New (0-6 Bulan),Tidak Puas & No Komplain
1,0,Phone,1,8,Debit Card,2,4,Mobile Phone,2,2,0,22,0,1,0,111.02000000000001,New (0-6 Bulan),Tidak Puas & No Komplain
0,19,Phone,3,6,E-Wallet,3,3,Fashion,5,2,0,25,4,15,7,204.53,Loyal (>12 Bulan),Puas & No Komplain
0,9,Phone,1,15,Debit Card,3,3,Mobile Phone,2,2,0,12,1,2,1,122.88,Established (6-12 Bulan),Tidak Puas & No Komplain
0,4,Phone,1,18,Credit Card,3,3,Mobile Phone,2,9,1,23,1,1,2,139.29,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,9,Phone,1,33,Credit Card,3,3,Mobile Phone,4,3,0,15,1,1,2,123.11000000000001,Established (6-12 Bulan),Puas & No Komplain
1,4,Phone,3,26,E-Wallet,3,3,Mobile Phone,4,2,1,22,0,1,2,131.4,New (0-6 Bulan),Puas & Ada Komplain
0,23,Phone,1,6,Credit Card,2,4,Mobile Phone,3,3,0,15,0,1,2,136.9,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,26,Phone,1,19,Credit Card,2,2,Laptop & Accessory,5,2,0,11,1,1,3,144.5,Loyal (>12 Bulan),Puas & No Komplain
0,6,Phone,1,20,Credit Card,3,3,Mobile Phone,4,2,0,13,0,1,6,127.56,New (0-6 Bulan),Puas & No Komplain
0,13,Phone,1,10,Credit Card,2,3,Others,3,2,0,14,1,9,9,290.33,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,28,Phone,1,20,Credit Card,3,2,Others,4,9,0,11,1,2,15,287.22,Loyal (>12 Bulan),Puas & No Komplain
0,7,Computer,1,8,Debit Card,2,4,Laptop & Accessory,3,2,0,17,0,1,9,195.47,Established (6-12 Bulan),Tidak Puas & No Komplain
0,24,Phone,1,9,Credit Card,3,3,Grocery,4,4,0,18,0,2,0,237.33999999999997,Loyal (>12 Bulan),Puas & No Komplain
0,25,Phone,1,6,Debit Card,3,4,Others,3,1,0,15,1,11,9,299.99,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,9,Phone,1,15,Credit Card,2,3,Mobile Phone,4,2,0,16,1,1,3,122.78999999999999,Established (6-12 Bulan),Puas & No Komplain
1,0,Phone,1,29,Debit Card,2,4,Laptop & Accessory,3,4,1,13,1,1,1,159.16,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,9,Computer,1,13,Credit Card,2,2,Mobile Phone,2,5,0,14,0,2,2,120.88999999999999,Established (6-12 Bulan),Tidak Puas & No Komplain
0,18,Computer,1,8,Credit Card,3,4,Grocery,2,10,0,23,1,11,8,267.92,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,10,Phone,1,27,Debit Card,3,2,Mobile Phone,5,2,1,12,0,1,7,135.64,Established (6-12 Bulan),Puas & Ada Komplain
0,8,Computer,1,8,Credit Card,2,3,Laptop & Accessory,4,6,0,11,1,1,2,144.25,Established (6-12 Bulan),Puas & No Komplain
0,15,Computer,1,27,Credit Card,2,3,Laptop & Accessory,3,3,0,16,0,1,2,152.65,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,11,Phone,1,8,Debit Card,2,3,Laptop & Accessory,3,10,0,14,0,1,0,165.53,Established (6-12 Bulan),Tidak Puas & No Komplain
0,11,Phone,1,35,COD,2,3,Laptop & Accessory,2,4,0,18,0,1,7,162.61,Established (6-12 Bulan),Tidak Puas & No Komplain
0,0,Computer,1,6,COD,2,4,Laptop & Accessory,5,6,0,19,0,2,0,142.98,New (0-6 Bulan),Puas & No Komplain
0,22,Computer,1,24,Debit Card,3,3,Laptop & Accessory,2,2,1,15,0,1,7,168.04,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,7,Computer,1,16,Credit Card,2,3,Mobile Phone,3,2,1,17,2,2,0,138.15,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,13,Phone,1,25,Credit Card,3,3,Laptop & Accessory,2,9,1,15,1,3,7,127.41,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
1,1,Phone,1,35,Credit Card,3,3,Laptop & Accessory,5,8,1,19,0,1,0,166.73,New (0-6 Bulan),Puas & Ada Komplain
1,0,Phone,3,33,E-Wallet,2,3,Fashion,2,2,0,22,1,1,9,176.39,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,14,Debit Card,2,2,Mobile Phone,4,2,1,16,0,2,2,123.28,New (0-6 Bulan),Puas & Ada Komplain
0,9,Computer,1,24,Credit Card,3,3,Mobile Phone,2,2,0,13,1,1,7,121.53,Established (6-12 Bulan),Tidak Puas & No Komplain
0,13,Computer,1,15,Debit Card,3,4,Laptop & Accessory,2,10,0,14,1,1,2,148.76,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,19,Phone,1,6,Credit Card,3,3,Fashion,5,8,0,16,0,1,3,193.96,Loyal (>12 Bulan),Puas & No Komplain
1,0,Phone,3,10,Credit Card,2,5,Fashion,2,2,0,11,7,9,8,204.0,New (0-6 Bulan),Tidak Puas & No Komplain
0,3,Computer,1,6,Debit Card,2,4,Fashion,3,2,0,22,2,5,8,184.74,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Computer,3,26,Debit Card,2,3,Laptop & Accessory,3,2,0,14,1,1,7,199.81,New (0-6 Bulan),Tidak Puas & No Komplain
0,24,Phone,1,14,Debit Card,2,4,Fashion,4,6,0,16,1,4,3,224.89999999999998,Loyal (>12 Bulan),Puas & No Komplain
1,0,Phone,1,14,COD,2,3,Mobile Phone,5,6,1,11,1,1,4,126.57,New (0-6 Bulan),Puas & Ada Komplain
0,14,Phone,3,12,Debit Card,3,3,Fashion,2,4,1,18,0,2,0,235.91000000000003,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
1,0,Computer,3,32,E-Wallet,2,4,Laptop & Accessory,5,6,0,15,0,1,1,166.96,New (0-6 Bulan),Puas & No Komplain
1,9,Phone,1,6,COD,2,3,Mobile Phone,3,1,0,14,0,1,5,120.58000000000001,Established (6-12 Bulan),Tidak Puas & No Komplain
0,18,Computer,3,12,Credit Card,2,4,Fashion,2,7,0,12,12,12,8,188.65,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,27,Phone,3,9,E-Wallet,2,3,Laptop & Accessory,5,3,0,14,1,1,5,159.4,Loyal (>12 Bulan),Puas & No Komplain
0,9,Phone,1,11,Debit Card,3,3,Laptop & Accessory,4,9,0,16,0,3,7,159.14,Established (6-12 Bulan),Puas & No Komplain
0,6,Phone,1,14,Credit Card,2,4,Mobile Phone,4,7,0,21,0,1,1,126.22,New (0-6 Bulan),Puas & No Komplain
0,10,Computer,1,17,UPI,2,3,Fashion,2,2,1,14,0,1,3,221.85000000000002,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,11,Phone,3,9,Debit Card,3,3,Fashion,3,1,0,12,1,5,13,206.08999999999997,Established (6-12 Bulan),Tidak Puas & No Komplain
0,4,Computer,1,6,Credit Card,2,5,Laptop & Accessory,3,1,0,12,1,1,4,143.45,New (0-6 Bulan),Tidak Puas & No Komplain
0,9,Phone,1,9,Debit Card,3,4,Mobile Phone,2,4,0,17,0,1,0,121.77000000000001,Established (6-12 Bulan),Tidak Puas & No Komplain
0,10,Computer,3,10,E-Wallet,2,3,Mobile Phone,2,5,0,17,1,5,8,0.0,Established (6-12 Bulan),Tidak Puas & No Komplain
0,2,Computer,3,6,Credit Card,2,3,Fashion,2,2,0,14,4,4,1,179.18,New (0-6 Bulan),Tidak Puas & No Komplain
0,8,Computer,3,6,E-Wallet,3,3,Fashion,3,2,0,14,1,1,8,187.89,Established (6-12 Bulan),Tidak Puas & No Komplain
1,0,Phone,1,14,Credit Card,2,4,Mobile Phone,2,2,1,13,0,1,1,123.88999999999999,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,25,Phone,1,8,Debit Card,2,4,Mobile Phone,2,8,0,15,0,2,2,132.12,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,15,Phone,1,10,COD,2,3,Others,2,2,0,15,0,11,15,292.32,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,9,Phone,2,12,Credit Card,2,3,Mobile Phone,3,9,0,17,2,2,2,122.66999999999999,Established (6-12 Bulan),Tidak Puas & No Komplain
0,23,Phone,3,6,Credit Card,3,3,Others,2,4,0,15,1,1,6,295.17,Loyal (>12 Bulan),Tidak Puas & No Komplain
1,0,Phone,1,14,Credit Card,2,3,Mobile Phone,2,6,1,13,0,1,4,124.36000000000001,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,16,Phone,3,22,E-Wallet,3,3,Grocery,2,6,1,22,0,2,9,260.64,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
1,0,Phone,1,8,Debit Card,3,3,Mobile Phone,5,8,0,20,1,1,7,127.07,New (0-6 Bulan),Puas & No Komplain
0,25,Computer,3,8,Debit Card,3,4,Others,3,2,1,18,1,15,12,290.68,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,5,Phone,3,10,Debit Card,2,3,Mobile Phone,4,3,0,11,1,1,2,139.31,New (0-6 Bulan),Puas & No Komplain
1,0,Phone,1,6,Debit Card,3,4,Mobile Phone,3,1,1,14,1,1,2,137.3,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,9,Phone,1,6,Credit Card,3,3,Mobile Phone,3,8,0,14,0,1,2,122.32,Established (6-12 Bulan),Tidak Puas & No Komplain
0,5,Computer,3,32,E-Wallet,3,3,Laptop & Accessory,2,1,0,18,1,2,2,144.65,New (0-6 Bulan),Tidak Puas & No Komplain
0,14,Phone,1,25,Debit Card,3,3,Laptop & Accessory,5,3,0,16,1,1,0,130.72,Loyal (>12 Bulan),Puas & No Komplain
0,13,Phone,1,30,COD,3,3,Laptop & Accessory,2,2,0,17,2,4,7,133.19,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,18,Phone,1,6,UPI,3,2,Others,2,1,0,15,1,1,7,292.02,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,4,Computer,1,9,Credit Card,3,3,Fashion,3,10,0,12,1,2,2,236.75,New (0-6 Bulan),Tidak Puas & No Komplain
0,6,Phone,1,11,Debit Card,3,4,Mobile Phone,2,2,0,13,0,1,2,129.11,New (0-6 Bulan),Tidak Puas & No Komplain
0,7,Phone,1,8,Debit Card,2,4,Laptop & Accessory,5,7,0,13,0,5,9,159.57,Established (6-12 Bulan),Puas & No Komplain
0,10,Phone,1,6,Credit Card,2,4,Mobile Phone,5,3,0,14,1,1,2,139.2,Established (6-12 Bulan),Puas & No Komplain
0,18,Computer,1,13,Debit Card,3,2,Laptop & Accessory,3,5,0,17,0,1,2,164.34,Loyal (>12 Bulan),Tidak Puas & No Komplain
1,0,Computer,1,16,Credit Card,3,3,Fashion,3,7,0,11,1,1,0,200.48,New (0-6 Bulan),Tidak Puas & No Komplain
0,12,Computer,1,8,COD,3,3,Fashion,3,1,0,25,10,11,3,209.38,Established (6-12 Bulan),Tidak Puas & No Komplain
0,2,Phone,1,14,Debit Card,2,3,Mobile Phone,2,2,0,19,0,1,5,123.4,New (0-6 Bulan),Tidak Puas & No Komplain
0,15,Phone,1,23,Debit Card,2,2,Laptop & Accessory,5,4,1,13,0,1,2,165.45,Loyal (>12 Bulan),Puas & Ada Komplain
0,2,Phone,3,26,E-Wallet,2,3,Laptop & Accessory,2,3,0,14,1,1,2,169.31,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,6,Debit Card,3,3,Laptop & Accessory,3,1,0,12,1,1,2,148.98,New (0-6 Bulan),Tidak Puas & No Komplain
0,15,Phone,1,14,Credit Card,2,4,Mobile Phone,5,1,1,11,4,7,8,125.93,Loyal (>12 Bulan),Puas & Ada Komplain
0,13,Phone,1,8,Credit Card,2,3,Others,3,1,0,15,0,3,9,294.36,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,24,Phone,1,6,Debit Card,3,3,Mobile Phone,2,2,0,11,1,1,0,127.22999999999999,Loyal (>12 Bulan),Tidak Puas & No Komplain
1,0,Computer,1,35,Credit Card,3,4,Mobile Phone,4,1,0,11,1,1,4,134.79,New (0-6 Bulan),Puas & No Komplain
0,5,Computer,1,13,Debit Card,3,2,Mobile Phone,4,2,0,20,0,1,3,127.94,New (0-6 Bulan),Puas & No Komplain
0,11,Computer,3,8,Debit Card,2,4,Laptop & Accessory,2,4,0,18,6,7,5,152.49,Established (6-12 Bulan),Tidak Puas & No Komplain
0,9,Phone,1,8,COD,2,4,Laptop & Accessory,5,5,0,13,0,1,4,121.75999999999999,Established (6-12 Bulan),Puas & No Komplain
0,19,Phone,3,8,COD,3,5,Grocery,4,4,1,12,1,7,7,268.72,Loyal (>12 Bulan),Puas & Ada Komplain
1,0,Phone,1,8,Debit Card,3,3,Mobile Phone,3,3,0,11,1,1,0,134.85,New (0-6 Bulan),Tidak Puas & No Komplain
0,2,Phone,3,8,Credit Card,3,4,Laptop & Accessory,4,3,0,19,0,1,0,166.44,New (0-6 Bulan),Puas & No Komplain
0,4,Phone,1,29,Credit Card,3,4,Laptop & Accessory,2,1,0,21,1,7,8,155.82,New (0-6 Bulan),Tidak Puas & No Komplain
0,0,Computer,1,11,Debit Card,2,2,Laptop & Accessory,5,2,0,12,1,1,5,140.0,New (0-6 Bulan),Puas & No Komplain
0,18,Phone,1,26,Credit Card,3,3,Grocery,2,1,1,14,0,2,10,234.95999999999998,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,9,Phone,1,12,Debit Card,2,3,Mobile Phone,2,1,0,11,4,10,11,132.1,Established (6-12 Bulan),Tidak Puas & No Komplain
0,28,Phone,1,6,Credit Card,2,3,Others,5,1,1,14,1,4,13,290.45,Loyal (>12 Bulan),Puas & Ada Komplain
1,10,Computer,1,35,Debit Card,2,3,Fashion,4,2,1,12,5,9,3,218.49,Established (6-12 Bulan),Puas & Ada Komplain
0,9,Phone,1,15,Credit Card,3,3,Mobile Phone,2,2,0,23,1,1,4,120.69999999999999,Established (6-12 Bulan),Tidak Puas & No Komplain
0,10,Phone,3,12,Credit Card,3,3,Laptop & Accessory,2,5,0,14,0,1,1,165.02,Established (6-12 Bulan),Tidak Puas & No Komplain
0,0,Phone,1,9,Credit Card,3,4,Mobile Phone,3,2,0,17,1,1,0,132.3,New (0-6 Bulan),Tidak Puas & No Komplain
0,10,Computer,1,6,Credit Card,0,3,Fashion,2,3,1,18,0,2,2,236.02999999999997,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,2,Phone,1,28,Debit Card,3,2,Fashion,4,8,0,18,5,6,3,219.95999999999998,New (0-6 Bulan),Puas & No Komplain
0,11,Phone,3,13,Credit Card,2,2,Laptop & Accessory,5,2,1,24,0,7,7,156.05,Established (6-12 Bulan),Puas & Ada Komplain
0,0,Computer,1,6,Debit Card,2,3,Laptop & Accessory,4,2,0,20,0,1,4,163.97,New (0-6 Bulan),Puas & No Komplain
0,23,Phone,1,10,Debit Card,3,3,Others,4,4,0,14,1,1,6,291.44,Loyal (>12 Bulan),Puas & No Komplain
0,26,Phone,1,9,Credit Card,2,3,Grocery,3,4,1,16,1,1,3,275.84,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,15,Phone,3,6,Debit Card,2,3,Laptop & Accessory,3,2,0,25,4,11,6,149.07,Loyal (>12 Bulan),Tidak Puas & No Komplain
0,2,Computer,3,8,Debit Card,2,3,Laptop & Accessory,2,2,0,18,0,1,9,145.54,New (0-6 Bulan),Tidak Puas & No Komplain
0,28,Phone,1,26,COD,2,3,Laptop & Accessory,2,4,1,19,1,1,8,154.15,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,0,Computer,1,17,Credit Card,2,3,Laptop & Accessory,5,2,1,13,2,3,3,147.41,New (0-6 Bulan),Puas & Ada Komplain
0,9,Phone,1,6,Debit Card,2,3,Mobile Phone,2,2,0,12,1,5,7,121.15,Established (6-12 Bulan),Tidak Puas & No Komplain
1,7,Computer,1,30,Debit Card,3,3,Mobile Phone,3,4,1,22,0,1,0,131.61,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,11,Phone,1,29,Debit Card,2,3,Laptop & Accessory,2,10,0,14,0,1,2,157.45,Established (6-12 Bulan),Tidak Puas & No Komplain
1,0,Phone,1,14,Credit Card,2,3,Mobile Phone,4,3,1,13,1,1,2,123.72999999999999,New (0-6 Bulan),Puas & Ada Komplain
0,1,Phone,1,14,Debit Card,3,3,Mobile Phone,2,2,0,21,0,1,2,133.1,New (0-6 Bulan),Tidak Puas & No Komplain
0,22,Computer,1,16,Debit Card,2,3,Others,5,10,1,11,1,1,2,286.65,Loyal (>12 Bulan),Puas & Ada Komplain
0,9,Phone,1,9,COD,1,3,Laptop & Accessory,4,5,0,12,6,7,7,144.85,Established (6-12 Bulan),Puas & No Komplain
0,4,Computer,3,11,E-Wallet,3,3,Mobile Phone,4,2,0,11,0,2,2,127.88999999999999,New (0-6 Bulan),Puas & No Komplain
1,0,Phone,3,10,E-Wallet,2,4,Laptop & Accessory,2,2,1,12,7,7,4,158.28,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,10,Computer,1,14,Credit Card,2,3,Mobile Phone,2,2,1,12,0,1,2,123.25999999999999,Established (6-12 Bulan),Tidak Puas & Ada Komplain
0,15,Computer,3,32,E-Wallet,3,3,Grocery,4,6,0,14,2,2,8,235.25,Loyal (>12 Bulan),Puas & No Komplain
1,9,Phone,1,9,Debit Card,2,3,Mobile Phone,3,2,0,13,0,1,0,114.19999999999999,Established (6-12 Bulan),Tidak Puas & No Komplain
0,8,Phone,3,22,E-Wallet,3,3,Fashion,4,1,0,15,3,6,9,180.2,Established (6-12 Bulan),Puas & No Komplain
0,9,Computer,1,24,Debit Card,2,2,Mobile Phone,2,5,0,18,0,1,0,136.88,Established (6-12 Bulan),Tidak Puas & No Komplain
0,24,Phone,1,8,Credit Card,2,5,Laptop & Accessory,4,6,0,18,0,1,2,154.82,Loyal (>12 Bulan),Puas & No Komplain
0,14,Phone,3,8,Debit Card,2,3,Grocery,4,2,0,19,1,2,4,260.15,Loyal (>12 Bulan),Puas & No Komplain
0,0,Phone,3,16,Credit Card,3,4,Mobile Phone,3,2,0,12,1,1,0,112.0,New (0-6 Bulan),Tidak Puas & No Komplain
0,1,Phone,1,22,Credit Card,3,2,Laptop & Accessory,5,1,0,19,0,1,7,156.61,New (0-6 Bulan),Puas & No Komplain
0,4,Phone,3,13,COD,3,2,Laptop & Accessory,2,5,0,11,3,7,7,169.29,New (0-6 Bulan),Tidak Puas & No Komplain
0,12,Phone,1,6,Credit Card,2,2,Fashion,2,1,0,17,3,3,7,196.13,Established (6-12 Bulan),Tidak Puas & No Komplain
0,9,Computer,1,30,Debit Card,2,3,Laptop & Accessory,4,8,0,15,0,1,8,156.74,Established (6-12 Bulan),Puas & No Komplain
0,5,Phone,3,13,Debit Card,3,4,Laptop & Accessory,3,2,0,14,1,4,8,154.84,New (0-6 Bulan),Tidak Puas & No Komplain
0,11,Phone,1,31,Debit Card,2,4,Fashion,4,4,0,17,1,1,3,220.61,Established (6-12 Bulan),Puas & No Komplain
0,30,Computer,1,6,Debit Card,2,5,Laptop & Accessory,3,3,1,13,1,1,2,156.6,Loyal (>12 Bulan),Tidak Puas & Ada Komplain
0,4,Phone,1,11,COD,2,3,Mobile Phone,2,1,1,12,0,1,3,148.21,New (0-6 Bulan),Tidak Puas & Ada Komplain
0,4,Phone,2,8,UPI,3,4,Laptop & Accessory,5,4,0,12,0,1,0,164.1,New (0-6 Bulan),Puas & No Komplain
